# Simulation 18 (Up to date)
# 210 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,525.389,54.5,NaN,46.548,2.88,90
0.01,6.211e-4,0.203,0.203,2.307e-6,20.8,85.39,85.883,525.32,54.431,NaN,46.542,2.816,90
0.018,0.004,0.696,0.696,9.05e-6,20.8,85.39,75.875,525.181,54.292,NaN,46.528,2.765,90
0.028,0.015,1.469,1.469,2.362e-5,20.8,85.39,61.446,524.966,54.077,NaN,46.508,2.701,90
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.034,2.266,2.266,4.566e-5,20.8,85.39,49.304,524.751,53.862,NaN,46.487,2.637,90
0.048,0.06,3.081,3.081,7.182e-5,20.8,85.39,39.84,524.524,53.635,NaN,46.466,2.573,90
0.058,0.095,3.909,3.909,9.797e-5,20.8,85.39,33.12,524.296,53.407,NaN,46.444,2.553,90
0.068,0.138,4.751,4.751,1.241e-4,20.8,85.39,28.142,524.069,53.18,NaN,46.422,2.544,90
0.078,0.19,5.606,5.606,1.503e-4,20.8,85.39,24.309,523.842,52.953,NaN,46.401,2.535,90
0.081,0.207,5.866,5.866,1.581e-4,20.8,85.39,23.33,523.773,52.884,NaN,46.394,2.532,90
0.086,0.235,6.254,6.254,1.699e-4,20.8,85.39,21.991,523.67,52.781,NaN,46.384,2.528,90
0.092,0.279,6.832,6.832,1.876e-4,20.8,85.39,20.243,523.514,52.625,NaN,46.369,2.522,90
0.102,0.351,7.679,7.679,2.137e-4,20.8,85.39,18.113,523.283,52.394,NaN,46.347,2.514,90
0.106,0.381,7.994,7.994,2.235e-4,20.8,85.39,17.435,523.197,52.308,NaN,46.339,2.513,90
0.112,0.427,8.464,8.464,2.382e-4,20.8,85.39,16.508,523.07,52.181,NaN,46.327,2.511,90
0.12,0.502,9.167,9.167,2.603e-4,20.8,85.39,15.286,522.88,51.991,NaN,46.309,2.508,90
0.13,0.597,9.998,9.998,2.865e-4,20.8,85.39,14.049,522.655,51.766,NaN,46.287,2.504,90
0.14,0.701,10.825,10.825,3.126e-4,20.8,85.39,12.994,522.429,51.54,NaN,46.265,2.501,90
0.146,0.767,11.315,11.315,3.281e-4,20.8,85.39,12.439,522.296,51.406,NaN,46.252,2.499,90
0.155,0.87,12.047,12.047,3.513e-4,20.8,85.39,11.809,522.096,51.207,NaN,46.233,2.521,90
0.161,0.946,12.561,12.561,3.674e-4,20.8,85.39,11.473,521.958,51.068,NaN,46.22,2.552,90
# Event LAUNCHROD occurred at t=0.169 seconds
0.169,1.049,13.228,13.228,3.882e-4,20.8,85.39,11.075,521.777,50.888,56.024,46.202,2.592,90
0.181,1.213,14.228,14.228,4.778e-4,20.8,85.39,10.505,521.506,50.617,56.091,46.176,2.652,90
0.197,1.453,15.577,15.577,7.91e-4,20.8,85.39,9.835,521.141,50.251,56.175,46.141,2.732,90
0.221,1.853,17.583,17.583,0.002,20.8,85.39,8.681,520.6,49.711,56.334,46.089,2.754,90
0.242,2.238,19.287,19.287,0.003,20.8,85.39,7.818,520.134,49.245,56.467,46.043,2.761,90
0.273,2.88,21.806,21.806,0.005,20.8,85.39,6.43,519.454,48.565,56.711,45.977,2.656,90
0.313,3.809,24.951,24.952,0.009,20.8,85.39,4.985,518.591,47.702,57.014,45.893,2.524,90
0.363,5.153,28.794,28.794,0.014,20.8,85.39,3.74,517.557,46.668,57.325,45.792,2.495,90
0.411,6.621,32.333,32.333,0.017,20.8,85.39,2.668,516.564,45.675,57.641,45.695,2.462,90
0.461,8.327,35.868,35.868,0.015,20.8,85.39,1.617,515.594,44.705,58.006,45.599,2.413,90
0.494,9.548,38.118,38.118,0.011,20.8,85.39,1.039,514.954,44.065,58.234,45.536,2.431,90
0.527,10.842,40.298,40.299,0.003,20.8,85.39,0.376,514.34,43.451,58.525,45.475,2.37,90
0.542,11.454,41.282,41.284,0.002,20.8,85.39,0.078,514.063,43.173,58.667,45.448,2.334,90
0.562,12.292,42.571,42.574,0.011,20.8,85.39,0.233,513.697,42.808,58.593,45.411,2.338,90
0.592,13.597,44.425,44.43,0.028,20.8,85.39,0.6,513.176,42.287,58.424,45.359,2.396,90
0.633,15.469,46.866,46.874,0.06,20.8,85.39,0.949,512.463,41.574,58.274,45.288,2.552,90
0.683,17.883,49.666,49.682,0.114,20.8,85.39,1.455,511.642,40.753,58.071,45.206,2.574,90
0.733,20.432,52.219,52.245,0.186,20.8,85.39,1.875,510.881,39.992,57.916,45.13,2.497,90
0.743,20.956,52.697,52.725,0.203,20.8,85.39,1.93,510.729,39.84,57.896,45.114,2.481,90
0.758,21.752,53.397,53.428,0.23,20.8,85.39,1.966,510.519,39.63,57.884,45.093,2.482,90
0.78,22.965,54.414,54.451,0.273,20.8,85.39,1.943,510.204,39.315,57.892,45.062,2.517,90
0.799,23.979,55.22,55.262,0.311,20.8,85.39,1.888,509.945,39.056,57.912,45.035,2.545,90
0.827,25.528,56.379,56.428,0.374,20.8,85.39,1.628,509.59,38.701,58.008,45,2.705,90
0.868,27.909,57.999,58.059,0.478,20.8,85.39,1.323,509.057,38.168,58.126,44.946,2.759,90
0.877,28.41,58.317,58.379,0.501,20.8,85.39,1.294,508.947,38.058,58.138,44.934,2.72,90
0.89,29.168,58.78,58.845,0.536,20.8,85.39,1.24,508.806,37.917,58.159,44.92,2.661,90
0.909,30.315,59.439,59.509,0.591,20.8,85.39,1.096,508.596,37.706,58.218,44.899,2.617,90
0.938,32.059,60.349,60.426,0.678,20.8,85.39,0.778,508.279,37.39,58.353,44.867,2.621,90
0.97,33.977,61.229,61.311,0.776,20.8,85.39,0.362,507.937,37.047,58.54,44.832,2.671,90
1.006,36.196,62.046,62.134,0.893,20.8,85.39,0.138,507.618,36.729,58.646,44.799,2.755,90
1.046,38.69,62.585,62.676,1.026,20.8,85.39,0.641,507.351,36.462,58.414,44.772,2.835,90
1.089,41.386,62.725,62.816,1.172,20.8,85.39,1.203,507.167,36.278,58.176,44.753,3.063,90
1.132,44.08,62.542,62.632,1.317,20.8,85.39,1.437,507.06,36.171,58.084,44.743,3.116,90
1.172,46.575,62.17,62.257,1.45,20.8,85.39,1.471,507.008,36.119,58.07,44.737,3.153,90
1.21,48.898,61.697,61.781,1.572,20.8,85.39,1.408,506.993,36.104,58.095,44.736,3.245,90
# Event BURNOUT occurred at t=1.22 seconds
1.22,49.545,61.547,61.631,1.606,20.8,85.39,1.381,506.989,36.1,58.105,44.735,3.288,90
1.236,50.512,61.316,61.4,1.657,20.8,85.39,1.323,506.989,36.1,58.128,44.735,3.353,90
1.259,51.957,60.972,61.054,1.732,20.8,85.39,1.178,506.989,36.1,58.185,44.735,3.432,90
1.295,54.108,60.458,60.538,1.843,20.8,85.39,0.852,506.989,36.1,58.321,44.735,3.509,90
1.345,57.113,59.736,59.815,1.997,20.8,85.39,0.305,506.989,36.1,58.566,44.735,3.622,90
1.395,60.082,59.018,59.097,2.15,20.8,85.39,0.349,506.989,36.1,58.545,44.735,3.642,90
1.445,63.015,58.303,58.382,2.302,20.8,85.39,1.022,506.989,36.1,58.248,44.735,3.555,90
1.495,65.912,57.589,57.67,2.455,20.8,85.39,1.57,506.989,36.1,58.031,44.735,3.408,90
1.535,68.23,57.013,57.096,2.579,20.8,85.39,1.728,506.989,36.1,57.972,44.735,3.392,90
1.573,70.355,56.482,56.568,2.695,20.8,85.39,1.602,506.989,36.1,58.018,44.735,3.494,90
1.614,72.683,55.901,55.989,2.824,20.8,85.39,1.282,506.989,36.1,58.142,44.735,3.637,90
1.664,75.461,55.206,55.295,2.981,20.8,85.39,0.909,506.989,36.1,58.294,44.735,3.644,90
1.714,78.204,54.519,54.609,3.139,20.8,85.39,0.58,506.989,36.1,58.437,44.735,3.495,90
1.764,80.913,53.838,53.929,3.295,20.8,85.39,0.081,506.989,36.1,58.67,44.735,3.451,90
1.814,83.588,53.164,53.254,3.451,20.8,85.39,0.521,506.989,36.1,58.463,44.735,3.515,90
1.864,86.229,52.496,52.585,3.605,20.8,85.39,0.892,506.989,36.1,58.3,44.735,3.438,90
1.914,88.837,51.834,51.921,3.756,20.8,85.39,1.099,506.989,36.1,58.214,44.735,3.315,90
1.964,91.413,51.176,51.26,3.905,20.8,85.39,1.506,506.989,36.1,58.053,44.735,3.518,90
2.014,93.955,50.522,50.605,4.051,20.8,85.39,1.327,506.989,36.1,58.122,44.735,3.349,90
2.064,96.465,49.873,49.953,4.194,20.8,85.39,1.191,506.989,36.1,58.176,44.735,3.357,90
2.114,98.942,49.227,49.306,4.334,20.8,85.39,0.846,506.989,36.1,58.319,44.735,3.291,90
2.164,101.388,48.585,48.663,4.473,20.8,85.39,0.386,506.989,36.1,58.523,44.735,3.194,90
2.214,103.801,47.946,48.023,4.61,20.8,85.39,0.042,506.989,36.1,58.687,44.735,3.147,90
2.264,106.182,47.309,47.387,4.746,20.8,85.39,0.474,506.989,36.1,58.482,44.735,3.081,90
2.314,108.532,46.676,46.755,4.882,20.8,85.39,0.792,506.989,36.1,58.341,44.735,3.064,90
2.364,110.85,46.044,46.124,5.018,20.8,85.39,1.223,506.989,36.1,58.162,44.735,2.877,90
2.414,113.136,45.415,45.497,5.154,20.8,85.39,1.402,506.989,36.1,58.091,44.735,2.793,90
2.464,115.392,44.79,44.874,5.291,20.8,85.39,1.255,506.989,36.1,58.148,44.735,2.864,90
2.514,117.615,44.169,44.255,5.428,20.8,85.39,1.04,506.989,36.1,58.235,44.735,2.899,90
2.564,119.809,43.553,43.64,5.565,20.8,85.39,0.88,506.989,36.1,58.302,44.735,2.822,90
2.614,121.971,42.941,43.029,5.703,20.8,85.39,0.751,506.989,36.1,58.358,44.735,2.666,90
2.664,124.103,42.333,42.422,5.84,20.8,85.39,0.381,506.989,36.1,58.523,44.735,2.651,90
2.714,126.204,41.73,41.819,5.977,20.8,85.39,0.324,506.989,36.1,58.549,44.735,2.876,90
2.764,128.276,41.131,41.22,6.113,20.8,85.39,0.792,506.989,36.1,58.339,44.735,2.947,90
2.814,130.317,40.536,40.624,6.248,20.8,85.39,1.128,506.989,36.1,58.198,44.735,2.969,90
2.864,132.329,39.945,40.032,6.381,20.8,85.39,1.501,506.989,36.1,58.051,44.735,3.085,90
2.914,134.312,39.356,39.442,6.512,20.8,85.39,1.805,506.989,36.1,57.937,44.735,3.232,90
2.964,136.265,38.771,38.855,6.64,20.8,85.39,1.846,506.989,36.1,57.922,44.735,3.287,90
3.014,138.189,38.189,38.271,6.767,20.8,85.39,1.585,506.989,36.1,58.019,44.735,3.217,90
3.064,140.084,37.609,37.69,6.891,20.8,85.39,1.309,506.989,36.1,58.125,44.735,3.207,90
3.114,141.95,37.032,37.112,7.014,20.8,85.39,0.866,506.989,36.1,58.306,44.735,3.134,90
3.164,143.787,36.457,36.537,7.135,20.8,85.39,0.537,506.989,36.1,58.45,44.735,3.163,90
3.214,145.596,35.884,35.964,7.256,20.8,85.39,0.255,506.989,36.1,58.58,44.735,3.234,90
3.264,147.376,35.313,35.393,7.375,20.8,85.39,0.041,506.989,36.1,58.684,44.735,3.297,90
3.314,149.127,34.744,34.825,7.494,20.8,85.39,0.401,506.989,36.1,58.512,44.735,3.308,90
3.364,150.85,34.177,34.259,7.613,20.8,85.39,0.622,506.989,36.1,58.412,44.735,3.383,90
3.414,152.545,33.612,33.695,7.731,20.8,85.39,0.683,506.989,36.1,58.385,44.735,3.529,90
3.464,154.211,33.049,33.133,7.849,20.8,85.39,0.933,506.989,36.1,58.277,44.735,3.531,90
3.514,155.85,32.487,32.573,7.967,20.8,85.39,1.574,506.989,36.1,58.021,44.735,3.266,90
3.564,157.46,31.926,32.014,8.085,20.8,85.39,2.051,506.989,36.1,57.848,44.735,3.049,90
3.614,159.042,31.366,31.457,8.204,20.8,85.39,2.249,506.989,36.1,57.779,44.735,2.931,90
3.664,160.597,30.809,30.902,8.323,20.8,85.39,2.17,506.989,36.1,57.806,44.735,2.909,90
3.714,162.123,30.254,30.349,8.443,20.8,85.39,2.197,506.989,36.1,57.797,44.735,2.772,90
3.764,163.622,29.701,29.799,8.564,20.8,85.39,1.998,506.989,36.1,57.866,44.735,2.706,90
3.814,165.093,29.152,29.253,8.685,20.8,85.39,1.652,506.989,36.1,57.991,44.735,2.675,90
3.864,166.537,28.606,28.709,8.806,20.8,85.39,1.064,506.989,36.1,58.221,44.735,2.739,90
3.914,167.954,28.064,28.168,8.927,20.8,85.39,0.307,506.989,36.1,58.554,44.735,2.869,90
3.964,169.344,27.524,27.63,9.048,20.8,85.39,0.374,506.989,36.1,58.522,44.735,2.955,90
4.014,170.707,26.988,27.094,9.168,20.8,85.39,0.955,506.989,36.1,58.266,44.735,2.998,90
4.064,172.043,26.454,26.56,9.288,20.8,85.39,1.331,506.989,36.1,58.113,44.735,2.956,90
4.114,173.352,25.922,26.029,9.406,20.8,85.39,1.911,506.989,36.1,57.896,44.735,3.033,90
4.164,174.635,25.392,25.499,9.523,20.8,85.39,2.56,506.989,36.1,57.675,44.735,3.171,90
4.214,175.891,24.864,24.97,9.639,20.8,85.39,2.774,506.989,36.1,57.607,44.735,3.145,90
4.264,177.121,24.338,24.444,9.753,20.8,85.39,2.312,506.989,36.1,57.757,44.735,2.85,90
4.314,178.325,23.813,23.919,9.867,20.8,85.39,2.294,506.989,36.1,57.762,44.735,2.785,90
4.364,179.503,23.29,23.396,9.979,20.8,85.39,2.554,506.989,36.1,57.676,44.735,2.865,90
4.414,180.654,22.768,22.874,10.089,20.8,85.39,2.81,506.989,36.1,57.595,44.735,2.968,90
4.464,181.779,22.248,22.354,10.199,20.8,85.39,2.388,506.989,36.1,57.731,44.735,2.813,90
4.514,182.879,21.729,21.836,10.307,20.8,85.39,2.427,506.989,36.1,57.718,44.735,2.867,90
4.564,183.952,21.212,21.319,10.415,20.8,85.39,2.281,506.989,36.1,57.766,44.735,2.864,90
4.614,185,20.696,20.804,10.521,20.8,85.39,2.312,506.989,36.1,57.756,44.735,2.94,90
4.664,186.022,20.181,20.29,10.627,20.8,85.39,2.861,506.989,36.1,57.579,44.735,3.225,90
4.714,187.018,19.668,19.778,10.731,20.8,85.39,2.851,506.989,36.1,57.582,44.735,3.308,90
