# Simulation 41 (Up to date)
# 286 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,527.889,57,NaN,46.785,2.101,90
0.01,0,0,0,0,20.8,85.39,90,527.871,56.982,NaN,46.783,2.06,90
0.016,4.207e-6,0.004,0.004,3.881e-7,20.8,85.39,89.885,527.861,56.971,NaN,46.782,2.036,90
0.025,2.511e-4,0.062,0.062,3.115e-6,20.8,85.39,88.223,527.801,56.911,NaN,46.776,1.999,90
0.035,0.002,0.205,0.205,9.056e-6,20.8,85.39,84.01,527.734,56.845,NaN,46.77,1.959,90
0.042,0.003,0.355,0.355,1.498e-5,20.8,85.39,79.563,527.687,56.798,NaN,46.766,1.93,90
0.052,0.008,0.627,0.627,2.592e-5,20.8,85.39,71.724,527.565,56.676,NaN,46.754,1.899,90
0.062,0.016,0.954,0.954,3.983e-5,20.8,85.39,63.382,527.442,56.553,NaN,46.743,1.905,90
# Event LIFTOFF occurred at t=0.073 seconds
0.073,0.029,1.378,1.378,5.891e-5,20.8,85.39,54.178,527.308,56.418,NaN,46.73,1.912,90
0.083,0.045,1.805,1.805,7.823e-5,20.8,85.39,46.699,527.153,56.264,NaN,46.715,1.918,90
0.093,0.065,2.253,2.253,9.754e-5,20.8,85.39,40.468,526.999,56.109,NaN,46.701,1.924,90
0.098,0.077,2.484,2.484,1.072e-4,20.8,85.39,37.772,526.921,56.032,NaN,46.693,1.927,90
0.106,0.097,2.836,2.836,1.217e-4,20.8,85.39,34.032,526.799,55.91,NaN,46.682,1.917,90
0.116,0.128,3.307,3.307,1.41e-4,20.8,85.39,29.809,526.636,55.746,NaN,46.666,1.897,90
0.126,0.163,3.782,3.782,1.603e-4,20.8,85.39,26.368,526.472,55.583,NaN,46.651,1.877,90
0.134,0.197,4.188,4.188,1.767e-4,20.8,85.39,23.921,526.334,55.444,NaN,46.638,1.859,90
0.144,0.241,4.666,4.666,1.96e-4,20.8,85.39,21.493,526.169,55.28,NaN,46.622,1.839,90
0.154,0.29,5.145,5.145,2.154e-4,20.8,85.39,19.605,526.004,55.115,NaN,46.607,1.834,90
0.164,0.344,5.623,5.623,2.347e-4,20.8,85.39,18.214,525.84,54.95,NaN,46.591,1.852,90
0.17,0.379,5.911,5.911,2.463e-4,20.8,85.39,17.478,525.741,54.852,NaN,46.582,1.863,90
0.179,0.434,6.344,6.344,2.636e-4,20.8,85.39,16.485,525.591,54.702,NaN,46.567,1.879,90
0.189,0.5,6.83,6.83,2.83e-4,20.8,85.39,15.508,525.424,54.535,NaN,46.552,1.897,90
0.195,0.542,7.125,7.125,2.945e-4,20.8,85.39,14.976,525.324,54.435,NaN,46.542,1.908,90
0.204,0.608,7.567,7.567,3.119e-4,20.8,85.39,14.241,525.174,54.285,NaN,46.528,1.923,90
0.214,0.686,8.055,8.055,3.312e-4,20.8,85.39,13.506,525.008,54.118,NaN,46.512,1.937,90
0.224,0.769,8.54,8.54,3.506e-4,20.8,85.39,12.855,524.841,53.952,NaN,46.496,1.951,90
0.236,0.875,9.118,9.118,3.737e-4,20.8,85.39,12.168,524.641,53.752,NaN,46.477,1.968,90
0.246,0.968,9.598,9.598,3.93e-4,20.8,85.39,11.657,524.475,53.586,NaN,46.461,1.982,90
# Event LAUNCHROD occurred at t=0.256 seconds
0.256,1.067,10.08,10.08,4.124e-4,20.8,85.39,11.122,524.309,53.42,56.019,46.445,1.984,90
0.271,1.223,10.807,10.807,4.941e-4,20.8,85.39,10.298,524.06,53.171,56.116,46.421,1.973,90
0.287,1.402,11.588,11.588,6.986e-4,20.8,85.39,9.518,523.794,52.905,56.216,46.396,1.962,90
0.311,1.695,12.757,12.757,0.001,20.8,85.39,8.571,523.395,52.506,56.35,46.358,1.96,90
0.338,2.057,14.059,14.059,0.002,20.8,85.39,7.748,522.947,52.058,56.478,46.315,1.976,90
0.368,2.5,15.513,15.513,0.004,20.8,85.39,6.884,522.449,51.56,56.626,46.267,1.973,90
0.404,3.09,17.239,17.239,0.006,20.8,85.39,5.974,521.856,50.967,56.8,46.21,1.961,90
0.424,3.444,18.194,18.194,0.007,20.8,85.39,5.645,521.528,50.639,56.868,46.178,1.995,90
0.454,4.012,19.637,19.637,0.009,20.8,85.39,5.152,521.034,50.145,56.975,46.131,2.038,90
0.465,4.231,20.158,20.158,0.01,20.8,85.39,4.927,520.853,49.964,57.026,46.113,2.035,90
0.482,4.57,20.936,20.937,0.011,20.8,85.39,4.601,520.586,49.697,57.103,46.087,2.031,90
0.506,5.102,22.1,22.101,0.013,20.8,85.39,4.127,520.185,49.296,57.222,46.048,2.021,90
0.526,5.548,23.026,23.026,0.014,20.8,85.39,3.749,519.865,48.975,57.322,46.017,2.008,90
0.556,6.25,24.403,24.403,0.015,20.8,85.39,3.198,519.392,48.502,57.478,45.971,1.985,90
0.592,7.169,26.068,26.068,0.016,20.8,85.39,2.507,518.811,47.922,57.692,45.915,1.934,90
0.642,8.528,28.31,28.31,0.013,20.8,85.39,1.937,518.032,47.143,57.887,45.839,2.023,90
0.669,9.309,29.5,29.501,0.011,20.8,85.39,1.588,517.612,46.723,58.015,45.798,2.05,90
0.71,10.539,31.253,31.254,0.003,20.8,85.39,1.036,517.005,46.116,58.233,45.738,2.069,90
0.76,12.155,33.358,33.361,0.012,20.8,85.39,0.376,516.255,45.366,58.523,45.664,2.085,90
0.786,13.053,34.447,34.45,0.024,20.8,85.39,0.001,515.858,44.969,58.703,45.625,2.066,90
0.826,14.454,36.025,36.031,0.046,20.8,85.39,0.494,515.311,44.422,58.469,45.571,2.06,90
0.876,16.302,37.893,37.903,0.083,20.8,85.39,1.015,514.622,43.733,58.244,45.503,2.07,90
0.908,17.543,39.028,39.041,0.113,20.8,85.39,1.302,514.178,43.289,58.128,45.459,2.075,90
0.956,19.47,40.634,40.654,0.168,20.8,85.39,1.674,513.588,42.698,57.986,45.4,2.058,90
1.006,21.541,42.175,42.203,0.238,20.8,85.39,2.019,512.977,42.088,57.861,45.34,1.964,90
1.025,22.332,42.718,42.75,0.268,20.8,85.39,2.087,512.75,41.86,57.837,45.317,1.94,90
1.053,23.536,43.501,43.538,0.315,20.8,85.39,2.13,512.454,41.564,57.823,45.287,1.916,90
1.095,25.382,44.601,44.647,0.395,20.8,85.39,1.922,512.009,41.12,57.896,45.243,2.014,90
1.145,27.643,45.8,45.856,0.503,20.8,85.39,1.607,511.48,40.59,58.012,45.19,2.081,90
1.157,28.201,46.073,46.131,0.531,20.8,85.39,1.54,511.351,40.461,58.038,45.177,2.074,90
1.175,29.045,46.468,46.531,0.574,20.8,85.39,1.455,511.189,40.299,58.07,45.161,2.04,90
1.203,30.324,47.032,47.1,0.642,20.8,85.39,1.29,510.946,40.056,58.135,45.136,1.995,90
1.244,32.27,47.811,47.887,0.749,20.8,85.39,0.874,510.581,39.692,58.306,45.099,2.027,90
1.284,34.215,48.5,48.583,0.861,20.8,85.39,0.489,510.222,39.333,58.476,45.063,2.008,90
1.334,36.659,49.257,49.346,1.006,20.8,85.39,0.023,509.867,38.977,58.697,45.027,1.964,90
1.384,39.139,49.915,50.01,1.157,20.8,85.39,0.4,509.511,38.622,58.517,44.992,1.903,90
1.434,41.649,50.476,50.574,1.312,20.8,85.39,0.66,509.156,38.267,58.4,44.956,1.753,90
1.462,43.066,50.747,50.846,1.401,20.8,85.39,0.794,508.957,38.068,58.341,44.935,1.691,90
1.504,45.205,51.092,51.194,1.535,20.8,85.39,1.03,508.747,37.858,58.242,44.914,1.686,90
1.554,47.768,51.406,51.509,1.697,20.8,85.39,1.159,508.497,37.608,58.189,44.889,1.65,90
1.604,50.344,51.614,51.717,1.86,20.8,85.39,1.216,508.247,37.357,58.166,44.863,1.677,90
1.654,52.928,51.717,51.82,2.023,20.8,85.39,1.096,507.996,37.107,58.215,44.838,1.672,90
1.66,53.238,51.722,51.825,2.043,20.8,85.39,1.075,507.966,37.077,58.224,44.835,1.673,90
1.669,53.704,51.727,51.83,2.072,20.8,85.39,1.04,507.941,37.051,58.238,44.832,1.675,90
1.683,54.402,51.728,51.832,2.117,20.8,85.39,0.981,507.902,37.013,58.263,44.828,1.677,90
1.703,55.449,51.717,51.821,2.183,20.8,85.39,0.879,507.844,36.955,58.305,44.822,1.682,90
1.733,57.02,51.669,51.773,2.283,20.8,85.39,0.709,507.757,36.867,58.379,44.814,1.698,90
1.779,59.371,51.528,51.633,2.432,20.8,85.39,0.437,507.626,36.737,58.501,44.8,1.747,90
1.829,61.941,51.277,51.384,2.598,20.8,85.39,0.063,507.482,36.593,58.678,44.786,1.762,90
1.838,62.419,51.22,51.327,2.628,20.8,85.39,0.015,507.456,36.567,58.702,44.783,1.757,90
1.852,63.133,51.128,51.236,2.675,20.8,85.39,0.134,507.438,36.548,58.644,44.781,1.748,90
1.873,64.203,50.982,51.091,2.744,20.8,85.39,0.33,507.41,36.521,58.55,44.778,1.712,90
1.904,65.802,50.742,50.852,2.849,20.8,85.39,0.58,507.37,36.48,58.436,44.774,1.682,90
1.951,68.185,50.337,50.45,3.007,20.8,85.39,0.665,507.309,36.419,58.398,44.768,1.845,90
2.001,70.69,49.849,49.964,3.176,20.8,85.39,0.817,507.244,36.355,58.331,44.761,1.89,90
2.006,70.914,49.802,49.917,3.191,20.8,85.39,0.824,507.238,36.349,58.328,44.761,1.896,90
