# Simulation 38 (Up to date)
# 173 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,514.889,44,NaN,45.455,1.095,90
0.006,0,0,0,0,20.8,85.39,90,514.889,44,NaN,45.455,1.089,90
0.015,0,0,0,0,20.8,85.39,90,514.883,43.994,NaN,45.455,1.081,90
0.025,0,0,0,0,20.8,85.39,90,514.876,43.987,NaN,45.454,1.071,90
0.035,0,0.003,0.003,0,20.8,85.39,89.857,514.815,43.925,NaN,45.448,1.062,90
0.045,2.296e-4,0.056,0.056,5.449e-7,20.8,85.39,86.973,514.753,43.864,NaN,45.442,1.052,90
0.055,0.001,0.183,0.183,1.899e-6,20.8,85.39,80.095,514.691,43.802,NaN,45.436,1.047,90
0.064,0.004,0.361,0.361,3.818e-6,20.8,85.39,70.975,514.635,43.746,NaN,45.43,1.047,90
0.074,0.009,0.597,0.597,6.78e-6,20.8,85.39,60.277,514.508,43.619,NaN,45.418,1.046,90
0.084,0.016,0.843,0.843,1.072e-5,20.8,85.39,51.101,514.381,43.491,NaN,45.406,1.045,90
# Event LIFTOFF occurred at t=0.094 seconds
0.094,0.025,1.099,1.099,1.581e-5,20.8,85.39,43.525,514.253,43.364,NaN,45.393,1.044,90
0.104,0.038,1.365,1.365,2.262e-5,20.8,85.39,37.285,514.126,43.237,NaN,45.381,1.04,90
0.114,0.053,1.641,1.641,2.942e-5,20.8,85.39,32.091,513.999,43.109,NaN,45.368,1.029,90
0.124,0.071,1.926,1.926,3.623e-5,20.8,85.39,27.865,513.871,42.982,NaN,45.356,1.019,90
0.134,0.091,2.222,2.222,4.304e-5,20.8,85.39,24.403,513.744,42.855,NaN,45.343,1.009,90
0.144,0.115,2.527,2.527,4.985e-5,20.8,85.39,21.541,513.617,42.727,NaN,45.331,0.998,90
0.154,0.142,2.843,2.843,5.666e-5,20.8,85.39,19.25,513.489,42.6,NaN,45.318,0.993,90
0.164,0.172,3.168,3.168,6.347e-5,20.8,85.39,17.455,513.362,42.473,NaN,45.306,0.997,90
0.167,0.182,3.268,3.268,6.551e-5,20.8,85.39,16.97,513.324,42.434,NaN,45.302,0.998,90
0.172,0.197,3.418,3.418,6.858e-5,20.8,85.39,16.287,513.252,42.362,NaN,45.295,0.999,90
0.178,0.22,3.645,3.645,7.317e-5,20.8,85.39,15.356,513.144,42.254,NaN,45.285,1.002,90
0.188,0.259,3.985,3.985,7.998e-5,20.8,85.39,14.148,512.984,42.094,NaN,45.269,1.005,90
0.198,0.3,4.328,4.328,8.679e-5,20.8,85.39,13.108,512.824,41.934,NaN,45.253,1.009,90
0.208,0.345,4.675,4.675,9.36e-5,20.8,85.39,12.246,512.664,41.774,NaN,45.237,1.015,90
0.218,0.394,5.026,5.026,1.004e-4,20.8,85.39,11.499,512.504,41.614,NaN,45.222,1.023,90
0.228,0.446,5.381,5.381,1.072e-4,20.8,85.39,10.838,512.344,41.454,NaN,45.206,1.031,90
0.238,0.501,5.74,5.74,1.14e-4,20.8,85.39,10.25,512.184,41.294,NaN,45.19,1.039,90
0.248,0.561,6.102,6.102,1.208e-4,20.8,85.39,9.723,512.024,41.134,NaN,45.174,1.046,90
0.258,0.623,6.468,6.468,1.276e-4,20.8,85.39,9.108,511.864,40.974,NaN,45.159,1.038,90
0.268,0.69,6.838,6.838,1.345e-4,20.8,85.39,8.524,511.704,40.814,NaN,45.143,1.026,90
0.278,0.76,7.212,7.212,1.413e-4,20.8,85.39,7.995,511.544,40.654,NaN,45.127,1.014,90
0.288,0.834,7.59,7.59,1.481e-4,20.8,85.39,7.512,511.384,40.494,NaN,45.111,1.002,90
0.298,0.912,7.971,7.971,1.549e-4,20.8,85.39,7.072,511.224,40.334,NaN,45.095,0.99,90
0.308,0.994,8.356,8.356,1.617e-4,20.8,85.39,6.806,511.064,40.174,NaN,45.08,0.998,90
# Event LAUNCHROD occurred at t=0.318 seconds
0.318,1.079,8.746,8.746,1.685e-4,20.8,85.39,6.588,510.904,40.014,56.68,45.064,1.011,90
